"action_type","combined_shot_type","lat","loc_x","loc_y","lon","minutes_remaining","period","playoffs","season","seconds_remaining","shot_distance","shot_made_flag","shot_type","shot_zone_area","shot_zone_basic","shot_zone_range","game_month","matchup","opponent"
"Jump Shot","Jump Shot",33.8203,-38,224,-118.3078,1,1,0,"1999-00",6,22,"1","2PT Field Goal","Center(C)","Mid-Range","16-24 ft.","1","Away","UTA"
"Jump Shot","Jump Shot",33.8483,-14,196,-118.2838,0,1,0,"1999-00",7,19,"1","2PT Field Goal","Center(C)","Mid-Range","16-24 ft.","1","Away","UTA"
"Jump Shot","Jump Shot",34.0473,128,-3,-118.1418,11,2,0,"1999-00",47,12,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","1","Away","UTA"
"Tip Shot","Tip Shot",34.0443,0,0,-118.2698,9,2,0,"1999-00",54,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","1","Away","UTA"
"Driving Layup Shot","Layup",34.0443,0,0,-118.2698,6,2,0,"1999-00",40,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","1","Away","UTA"
"Jump Shot","Jump Shot",33.8263,-51,218,-118.3208,5,2,0,"1999-00",26,22,"0","2PT Field Goal","Center(C)","Mid-Range","16-24 ft.","1","Away","UTA"
"Jump Shot","Jump Shot",34.0473,149,-3,-118.1208,11,3,0,"1999-00",25,14,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","1","Away","UTA"
"Jump Shot","Jump Shot",33.9143,-169,130,-118.4388,9,3,0,"1999-00",53,21,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","1","Away","UTA"
"Jump Shot","Jump Shot",33.8653,-74,179,-118.3438,6,4,0,"1999-00",42,19,"1","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","1","Away","UTA"
"Jump Shot","Jump Shot",34.0113,-147,33,-118.4168,6,4,0,"1999-00",14,15,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","1","Away","UTA"
"Jump Shot","Jump Shot",33.9313,70,113,-118.1998,0,4,0,"1999-00",27,13,"1","2PT Field Goal","Right Side(R)","In The Paint (Non-RA)","8-16 ft.","1","Away","UTA"
"Jump Shot","Jump Shot",33.8263,-1,218,-118.2708,4,5,0,"1999-00",46,21,"1","2PT Field Goal","Center(C)","Mid-Range","16-24 ft.","1","Away","UTA"
"Jump Shot","Jump Shot",33.8523,106,192,-118.1638,3,5,0,"1999-00",22,21,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","1","Away","UTA"
"Jump Shot","Jump Shot",33.8583,78,186,-118.1918,0,5,0,"1999-00",15,20,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","1","Away","UTA"
"Jump Shot","Jump Shot",33.8653,-126,179,-118.3958,4,6,0,"1999-00",29,21,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","1","Away","UTA"
"Jump Shot","Jump Shot",33.9383,-8,106,-118.2778,0,6,0,"1999-00",12,10,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","1","Away","UTA"
"Jump Shot","Jump Shot",33.6953,-154,349,-118.4238,0,6,0,"1999-00",1,38,"1","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","1","Away","UTA"
"Jump Shot","Jump Shot",33.8693,-119,175,-118.3888,10,1,0,"1999-00",11,21,"1","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","1","Home","MIL"
"Jump Shot","Jump Shot",33.8653,-70,179,-118.3398,9,1,0,"1999-00",33,19,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","1","Home","MIL"
"Running Jump Shot","Jump Shot",34.0023,-12,42,-118.2818,7,1,0,"1999-00",34,4,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","1","Home","MIL"
"Jump Shot","Jump Shot",34.0603,130,-16,-118.1398,1,1,0,"1999-00",33,13,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","1","Home","MIL"
"Driving Layup Shot","Layup",34.0443,0,0,-118.2698,0,1,0,"1999-00",41,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","1","Home","MIL"
"Driving Layup Shot","Layup",34.0443,0,0,-118.2698,2,2,0,"1999-00",37,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","1","Home","MIL"
"Driving Dunk Shot","Dunk",34.0443,0,0,-118.2698,0,2,0,"1999-00",30,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","1","Home","MIL"
"Jump Shot","Jump Shot",33.8733,29,171,-118.2408,10,3,0,"1999-00",17,17,"0","2PT Field Goal","Center(C)","Mid-Range","16-24 ft.","1","Home","MIL"
"Jump Shot","Jump Shot",33.9633,14,81,-118.2558,9,3,0,"1999-00",27,8,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","1","Home","MIL"
"Jump Shot","Jump Shot",33.9533,158,91,-118.1118,4,3,0,"1999-00",56,18,"0","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","1","Home","MIL"
"Jump Shot","Jump Shot",33.8453,-164,199,-118.4338,4,3,0,"1999-00",12,25,"1","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","1","Home","MIL"
"Jump Shot","Jump Shot",33.8653,164,179,-118.1058,1,3,0,"1999-00",4,24,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","1","Home","MIL"
"Jump Shot","Jump Shot",34.0133,164,31,-118.1058,11,4,0,"1999-00",2,16,"1","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","1","Home","MIL"
"Jump Shot","Jump Shot",33.8953,117,149,-118.1528,10,1,0,"1999-00",28,18,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","1","Away","HOU"
"Jump Shot","Jump Shot",34.0283,51,16,-118.2188,3,1,0,"1999-00",55,5,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","1","Away","HOU"
"Jump Shot","Jump Shot",34.0493,117,-5,-118.1528,11,2,0,"1999-00",35,11,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","1","Away","HOU"
"Jump Shot","Jump Shot",34.0113,-6,33,-118.2758,10,2,0,"1999-00",36,3,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","1","Away","HOU"
"Jump Shot","Jump Shot",33.9013,-27,143,-118.2968,8,2,0,"1999-00",13,14,"0","2PT Field Goal","Center(C)","Mid-Range","8-16 ft.","1","Away","HOU"
"Jump Shot","Jump Shot",33.9253,-21,119,-118.2908,6,2,0,"1999-00",10,12,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","1","Away","HOU"
"Slam Dunk Shot","Dunk",34.0443,0,0,-118.2698,3,2,0,"1999-00",51,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","1","Away","HOU"
"Jump Shot","Jump Shot",34.0603,87,-16,-118.1828,2,2,0,"1999-00",24,8,"1","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","1","Away","HOU"
"Jump Shot","Jump Shot",33.8153,-124,229,-118.3938,2,2,0,"1999-00",3,26,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","1","Away","HOU"
"Jump Shot","Jump Shot",33.9423,132,102,-118.1378,8,3,0,"1999-00",2,16,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","1","Away","HOU"
"Jump Shot","Jump Shot",34.0343,-188,10,-118.4578,6,3,0,"1999-00",19,18,"1","2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.","1","Away","HOU"
"Jump Shot","Jump Shot",33.8883,211,156,-118.0588,5,3,0,"1999-00",46,26,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","1","Away","HOU"
"Jump Shot","Jump Shot",33.9083,-94,136,-118.3638,1,3,0,"1999-00",59,16,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","1","Away","HOU"
"Driving Layup Shot","Layup",34.0443,0,0,-118.2698,0,3,0,"1999-00",7,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","1","Away","HOU"
"Jump Shot","Jump Shot",34.0263,61,18,-118.2088,5,4,0,"1999-00",24,6,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","1","Away","HOU"
"Jump Shot","Jump Shot",34.0343,108,10,-118.1618,4,4,0,"1999-00",52,10,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","1","Away","HOU"
"Jump Shot","Jump Shot",33.9423,-79,102,-118.3488,4,4,0,"1999-00",7,12,"0","2PT Field Goal","Left Side(L)","In The Paint (Non-RA)","8-16 ft.","1","Away","HOU"
"Jump Shot","Jump Shot",33.9833,23,61,-118.2468,2,4,0,"1999-00",38,6,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","1","Away","HOU"
"Jump Shot","Jump Shot",33.8653,-104,179,-118.3738,8,1,0,"1999-00",43,20,"1","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","2","Away","SAS"
"Jump Shot","Jump Shot",33.8713,-59,173,-118.3288,8,1,0,"1999-00",12,18,"1","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","2","Away","SAS"
"Jump Shot","Jump Shot",33.9103,-104,134,-118.3738,7,1,0,"1999-00",4,16,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","2","Away","SAS"
"Jump Shot","Jump Shot",34.0153,134,29,-118.1358,5,1,0,"1999-00",1,13,"1","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","2","Away","SAS"
"Jump Shot","Jump Shot",34.0473,-119,-3,-118.3888,3,1,0,"1999-00",14,11,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","2","Away","SAS"
"Jump Shot","Jump Shot",33.8713,-6,173,-118.2758,0,1,0,"1999-00",39,17,"0","2PT Field Goal","Center(C)","Mid-Range","16-24 ft.","2","Away","SAS"
"Jump Shot","Jump Shot",33.8993,201,145,-118.0688,6,2,0,"1999-00",5,24,"0","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","2","Away","SAS"
"Jump Shot","Jump Shot",34.0393,156,5,-118.1138,0,2,0,"1999-00",37,15,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","2","Away","SAS"
"Jump Shot","Jump Shot",33.9463,-27,98,-118.2968,0,2,0,"1999-00",18,10,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","2","Away","SAS"
"Jump Shot","Jump Shot",33.8353,8,209,-118.2618,8,3,0,"1999-00",17,20,"0","2PT Field Goal","Center(C)","Mid-Range","16-24 ft.","2","Away","SAS"
"Dunk Shot","Dunk",34.0433,16,1,-118.2538,7,3,0,"1999-00",17,1,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","2","Away","SAS"
"Jump Shot","Jump Shot",33.8753,-104,169,-118.3738,0,3,0,"1999-00",28,19,"1","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","2","Away","SAS"
"Jump Shot","Jump Shot",33.8753,68,169,-118.2018,9,4,0,"1999-00",17,18,"1","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","2","Away","SAS"
"Jump Shot","Jump Shot",33.8933,-111,151,-118.3808,7,4,0,"1999-00",54,18,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","2","Away","SAS"
"Jump Shot","Jump Shot",33.9353,-134,109,-118.4038,10,1,0,"1999-00",59,17,"1","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","2","Home","UTA"
"Jump Shot","Jump Shot",34.0733,-134,-29,-118.4038,5,1,0,"1999-00",51,13,"1","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","2","Home","UTA"
"Slam Dunk Shot","Dunk",34.0443,0,0,-118.2698,5,1,0,"1999-00",33,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","2","Home","UTA"
"Jump Shot","Jump Shot",33.8693,-6,175,-118.2758,4,1,0,"1999-00",2,17,"0","2PT Field Goal","Center(C)","Mid-Range","16-24 ft.","2","Home","UTA"
"Jump Shot","Jump Shot",33.8303,-128,214,-118.3978,0,1,0,"1999-00",16,24,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","2","Home","UTA"
"Driving Layup Shot","Layup",34.0443,0,0,-118.2698,10,2,0,"1999-00",20,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","2","Home","UTA"
"Driving Dunk Shot","Dunk",34.0443,0,0,-118.2698,7,3,0,"1999-00",12,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","2","Home","UTA"
"Jump Shot","Jump Shot",33.8693,-117,175,-118.3868,10,1,0,"1999-00",57,21,"1","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","2","Home","DEN"
"Jump Shot","Jump Shot",33.8903,-111,154,-118.3808,3,1,0,"1999-00",52,18,"1","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","2","Home","DEN"
"Jump Shot","Jump Shot",33.8973,121,147,-118.1488,2,1,0,"1999-00",8,19,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","2","Home","DEN"
"Jump Shot","Jump Shot",34.0283,-89,16,-118.3588,8,2,0,"1999-00",14,9,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","2","Home","DEN"
"Jump Shot","Jump Shot",33.8973,-89,147,-118.3588,1,2,0,"1999-00",29,17,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","2","Home","DEN"
"Driving Layup Shot","Layup",34.0443,0,0,-118.2698,8,3,0,"1999-00",41,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","2","Home","DEN"
"Jump Shot","Jump Shot",33.8863,40,158,-118.2298,8,3,0,"1999-00",30,16,"1","2PT Field Goal","Center(C)","Mid-Range","16-24 ft.","2","Home","DEN"
"Jump Shot","Jump Shot",33.9633,-1,81,-118.2708,8,3,0,"1999-00",24,8,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","2","Home","DEN"
"Driving Layup Shot","Layup",34.0443,0,0,-118.2698,3,3,0,"1999-00",29,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","2","Home","DEN"
"Running Jump Shot","Jump Shot",34.0453,164,-1,-118.1058,1,3,0,"1999-00",6,16,"1","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","2","Home","DEN"
"Jump Shot","Jump Shot",33.9403,-139,104,-118.4088,0,3,0,"1999-00",32,17,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","2","Home","DEN"
"Jump Shot","Jump Shot",33.8903,-51,154,-118.3208,0,3,0,"1999-00",6,16,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","2","Home","DEN"
"Driving Layup Shot","Layup",34.0443,0,0,-118.2698,11,4,0,"1999-00",41,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","2","Home","DEN"
"Jump Shot","Jump Shot",33.9293,216,115,-118.0538,8,4,0,"1999-00",19,24,"1","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","2","Home","DEN"
"Jump Shot","Jump Shot",33.8023,85,242,-118.1848,7,4,0,"1999-00",23,25,"1","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","2","Home","DEN"
"Jump Shot","Jump Shot",33.8733,-212,171,-118.4818,6,4,0,"1999-00",56,27,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","2","Home","DEN"
"Jump Shot","Jump Shot",33.9913,33,53,-118.2368,8,1,0,"1999-00",22,6,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","2","Home","MIN"
"Running Jump Shot","Jump Shot",34.0233,158,21,-118.1118,7,1,0,"1999-00",7,15,"1","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","2","Home","MIN"
"Jump Shot","Jump Shot",33.8653,-1,179,-118.2708,6,1,0,"1999-00",11,17,"0","2PT Field Goal","Center(C)","Mid-Range","16-24 ft.","2","Home","MIN"
"Hook Shot","Hook Shot",34.0193,93,25,-118.1768,5,1,0,"1999-00",30,9,"1","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","2","Home","MIN"
"Jump Shot","Jump Shot",33.9353,121,109,-118.1488,2,1,0,"1999-00",23,16,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","2","Home","MIN"
"Jump Shot","Jump Shot",33.9013,115,143,-118.1548,2,2,0,"1999-00",4,18,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","2","Home","MIN"
"Driving Layup Shot","Layup",34.0443,0,0,-118.2698,1,2,0,"1999-00",43,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","2","Home","MIN"
"Driving Dunk Shot","Dunk",34.0443,0,0,-118.2698,1,2,0,"1999-00",28,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","2","Home","MIN"
"Jump Shot","Jump Shot",34.0343,128,10,-118.1418,0,2,0,"1999-00",20,12,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","2","Home","MIN"
"Jump Shot","Jump Shot",34.0493,136,-5,-118.1338,10,3,0,"1999-00",53,13,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","2","Home","MIN"
"Layup Shot","Layup",34.0443,0,0,-118.2698,8,3,0,"1999-00",43,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","2","Home","MIN"
"Jump Shot","Jump Shot",33.8973,-66,147,-118.3358,6,3,0,"1999-00",28,16,"0","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","2","Home","MIN"
"Slam Dunk Shot","Dunk",34.0443,0,0,-118.2698,5,3,0,"1999-00",28,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","2","Home","MIN"
"Jump Shot","Jump Shot",33.8803,192,164,-118.0778,3,3,0,"1999-00",23,25,"1","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","2","Home","MIN"
"Jump Shot","Jump Shot",33.7853,12,259,-118.2578,1,3,0,"1999-00",11,25,"1","3PT Field Goal","Center(C)","Above the Break 3","24+ ft.","2","Home","MIN"
"Jump Shot","Jump Shot",33.7983,-27,246,-118.2968,9,1,0,"1999-00",59,24,"1","3PT Field Goal","Center(C)","Above the Break 3","24+ ft.","2","Away","CHI"
"Slam Dunk Shot","Dunk",34.0443,0,0,-118.2698,9,1,0,"1999-00",0,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","2","Away","CHI"
"Jump Shot","Jump Shot",33.8303,-12,214,-118.2818,6,1,0,"1999-00",16,21,"1","2PT Field Goal","Center(C)","Mid-Range","16-24 ft.","2","Away","CHI"
"Hook Shot","Hook Shot",33.9663,14,78,-118.2558,3,1,0,"1999-00",19,7,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","2","Away","CHI"
"Layup Shot","Layup",34.0443,0,0,-118.2698,1,1,0,"1999-00",53,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","2","Away","CHI"
"Jump Shot","Jump Shot",33.9833,149,61,-118.1208,10,2,0,"1999-00",16,16,"0","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","2","Away","CHI"
"Jump Shot","Jump Shot",33.9723,115,72,-118.1548,9,2,0,"1999-00",52,13,"1","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","2","Away","CHI"
"Jump Shot","Jump Shot",33.9833,130,61,-118.1398,0,2,0,"1999-00",35,14,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","2","Away","CHI"
"Jump Shot","Jump Shot",34.0043,42,40,-118.2278,2,3,0,"1999-00",4,5,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","2","Away","CHI"
"Jump Shot","Jump Shot",33.8413,-149,203,-118.4188,0,3,0,"1999-00",29,25,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","2","Away","CHI"
"Dunk Shot","Dunk",34.0443,0,0,-118.2698,1,4,0,"1999-00",15,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","2","Away","CHI"
"Layup Shot","Layup",34.0443,0,0,-118.2698,7,1,0,"1999-00",0,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","2","Away","CHA"
"Jump Shot","Jump Shot",34.0443,171,0,-118.0988,8,2,0,"1999-00",12,17,"1","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","2","Away","CHA"
"Driving Layup Shot","Layup",34.0443,0,0,-118.2698,6,2,0,"1999-00",29,0,"0","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","2","Away","CHA"
"Jump Shot","Jump Shot",33.8753,85,169,-118.1848,8,3,0,"1999-00",40,18,"1","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","2","Away","CHA"
"Jump Shot","Jump Shot",33.9103,-220,134,-118.4898,6,3,0,"1999-00",59,25,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","2","Away","CHA"
"Jump Shot","Jump Shot",33.9783,-111,66,-118.3808,4,3,0,"1999-00",5,12,"1","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","2","Away","CHA"
"Jump Shot","Jump Shot",33.9833,-10,61,-118.2798,1,3,0,"1999-00",50,6,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","2","Away","CHA"
"Jump Shot","Jump Shot",33.9663,76,78,-118.1938,0,3,0,"1999-00",47,10,"0","2PT Field Goal","Right Side(R)","In The Paint (Non-RA)","8-16 ft.","2","Away","CHA"
"Jump Shot","Jump Shot",34.0233,-96,21,-118.3658,0,3,0,"1999-00",4,9,"0","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","2","Away","CHA"
"Slam Dunk Shot","Dunk",34.0443,0,0,-118.2698,9,4,0,"1999-00",3,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","2","Away","CHA"
"Jump Shot","Jump Shot",33.8453,-117,199,-118.3868,6,4,0,"1999-00",51,23,"1","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","2","Away","CHA"
"Jump Shot","Jump Shot",33.9663,-184,78,-118.4538,6,4,0,"1999-00",10,19,"1","2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.","2","Away","CHA"
"Jump Shot","Jump Shot",33.9553,-141,89,-118.4108,5,4,0,"1999-00",33,16,"0","2PT Field Goal","Left Side(L)","Mid-Range","16-24 ft.","2","Away","CHA"
"Driving Layup Shot","Layup",34.0443,0,0,-118.2698,9,1,0,"1999-00",31,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","2","Away","ORL"
"Jump Shot","Jump Shot",34.0473,190,-3,-118.0798,1,1,0,"1999-00",13,19,"0","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","2","Away","ORL"
"Hook Shot","Hook Shot",34.0563,61,-12,-118.2088,0,1,0,"1999-00",40,6,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","2","Away","ORL"
"Jump Shot","Jump Shot",33.8373,-132,207,-118.4018,8,4,0,"1999-00",22,24,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","2","Away","ORL"
"Jump Shot","Jump Shot",33.8543,25,190,-118.2448,7,4,0,"1999-00",25,19,"0","2PT Field Goal","Center(C)","Mid-Range","16-24 ft.","2","Away","ORL"
"Jump Shot","Jump Shot",33.9983,-117,46,-118.3868,6,4,0,"1999-00",52,12,"1","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","2","Away","ORL"
"Jump Shot","Jump Shot",33.9983,154,46,-118.1158,6,4,0,"1999-00",31,16,"0","2PT Field Goal","Right Side(R)","Mid-Range","16-24 ft.","2","Away","ORL"
"Jump Shot","Jump Shot",33.9873,-38,57,-118.3078,5,4,0,"1999-00",2,6,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","2","Away","ORL"
"Jump Shot","Jump Shot",33.8753,175,169,-118.0948,3,4,0,"1999-00",28,24,"1","3PT Field Goal","Right Side Center(RC)","Above the Break 3","24+ ft.","2","Away","ORL"
"Jump Shot","Jump Shot",33.8953,111,149,-118.1588,8,1,0,"1999-00",29,18,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","2","Away","PHI"
"Jump Shot","Jump Shot",34.0263,-46,18,-118.3158,0,1,0,"1999-00",0,4,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","2","Away","PHI"
"Jump Shot","Jump Shot",34.0193,117,25,-118.1528,9,2,0,"1999-00",43,11,"1","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","2","Away","PHI"
"Jump Shot","Jump Shot",33.8673,-74,177,-118.3438,7,2,0,"1999-00",10,19,"1","2PT Field Goal","Left Side Center(LC)","Mid-Range","16-24 ft.","2","Away","PHI"
"Jump Shot","Jump Shot",33.8633,96,181,-118.1738,8,3,0,"1999-00",23,20,"1","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","2","Away","PHI"
"Jump Shot","Jump Shot",33.9983,53,46,-118.2168,7,3,0,"1999-00",59,7,"0","2PT Field Goal","Center(C)","In The Paint (Non-RA)","Less Than 8 ft.","2","Away","PHI"
"Jump Shot","Jump Shot",33.9813,147,63,-118.1228,6,3,0,"1999-00",48,15,"0","2PT Field Goal","Right Side(R)","Mid-Range","8-16 ft.","2","Away","PHI"
"Jump Shot","Jump Shot",33.9463,132,98,-118.1378,4,3,0,"1999-00",49,16,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","2","Away","PHI"
"Driving Layup Shot","Layup",34.0443,0,0,-118.2698,4,3,0,"1999-00",19,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","2","Away","PHI"
"Running Jump Shot","Jump Shot",33.9533,-12,91,-118.2818,7,4,0,"1999-00",59,9,"1","2PT Field Goal","Center(C)","In The Paint (Non-RA)","8-16 ft.","2","Away","PHI"
"Jump Shot","Jump Shot",33.8353,-190,209,-118.4598,5,4,0,"1999-00",27,28,"0","3PT Field Goal","Left Side Center(LC)","Above the Break 3","24+ ft.","2","Away","PHI"
"Jump Shot","Jump Shot",33.9633,74,81,-118.1958,2,4,0,"1999-00",1,10,"1","2PT Field Goal","Right Side(R)","In The Paint (Non-RA)","8-16 ft.","2","Away","PHI"
"Running Jump Shot","Jump Shot",33.9533,-89,91,-118.3588,1,4,0,"1999-00",28,12,"1","2PT Field Goal","Left Side(L)","Mid-Range","8-16 ft.","2","Away","PHI"
"Driving Layup Shot","Layup",34.0443,0,0,-118.2698,8,1,0,"1999-00",46,0,"1","2PT Field Goal","Center(C)","Restricted Area","Less Than 8 ft.","2","Away","NJN"
"Jump Shot","Jump Shot",33.9013,104,143,-118.1658,10,2,0,"1999-00",33,17,"0","2PT Field Goal","Right Side Center(RC)","Mid-Range","16-24 ft.","2","Away","NJN"
